ACCEPT	Tamam
PET_INFORMATION_AGE	Yaþ
PET_INFORMATION_COSTUME_BONUS	Kostüm Bonusu
PET_INFORMATION_DEFENCE	Savunma
PET_INFORMATION_EVOL_BUTTON	Geliþme
PET_INFORMATION_EXP	Tecrübe
PET_INFORMATION_EXP_BUTTON	Nesne EXP
PET_INFORMATION_HP	HP
PET_INFORMATION_LEVEL	Seviye
PET_INFORMATION_LIFE	Süre
PET_INFORMATION_LIFETIME_BUTTON	Besle
PET_INFORMATION_LIFE_TIME	Saat
PET_INFORMATION_SKILL	Beceri
PET_INFORMATION_SP	SP
PET_INFORMATION_TITLE	Pet
PET_NAME_CHANGE_BUTTON	Deðiþtir
PET_NAME_CHANGE_WINDOW_TITLE	Ýsmi deðiþtir
PET_POTENTIAL_TITLE	Potansiyel
PET_REVIVE_BUTTON	Dirilt
PET_REVIVE_CANCEL_BUTTON	Ýptal et
PET_REVIVE_MATERIAL_TITLE	Malzeme
PET_REVIVE_REUSLT_TEXT	Sonuç
PET_REVIVE_TARGET	Diriltilecek pet
PET_REVIVE_TITLE	Pet diriltme
PICK_MONEY_TITLE	Bölmek
POTIONS_INVENTORY_TITLE	Ýksirler
PRIVATE_SHOP_CLOSE_BUTTON	Dükkaný kapat
PRIVATE_SHOP_NAME	Dükkan ismi
PRIVATE_SHOP_TITLE	Özel dükkan aç
REFINE_COST	Yükseltme Ücreti: 0 Yang
REFINE_INFO	Baþarýlý bir geliþtirme olasýlýðý: %100
REFINE_MONEY	Arýndýrma Ücreti
REFINE_SELECT	Arýndýrma
REFINE_TTILE	Yükseltme
REPORT_VIOLENT_WHISPER	
RESTART_GIVEUP	Vazgeç
RESTART_HERE	Burada yeniden baþla
RESTART_INSTANT	Hemen yeniden baþlat
RESTART_TOWN	Þehirde yeniden baþla
SAFE_CHANGE_PASSWORD	Þifre Deðiþtir
SAFE_TITLE	Depo
SELECT_ATT	STR
SELECT_CHARACTER_ASSASSIN	Suikastçý
SELECT_CHARACTER_ASSASSIN_SKILL	Yakýn Dövüþ | Uzak Dövüþ
SELECT_CHARACTER_CUSTOMIZATION_TITLE	Özelleþtirme
SELECT_CHARACTER_SEX	Cinsiyet Seç
SELECT_CHARACTER_SHAMAN	Þaman
SELECT_CHARACTER_SHAMAN_SKILL	Ejderha Gücü | Ýyileþtirme
SELECT_CHARACTER_SKIN	Ten Rengi Seç
SELECT_CHARACTER_SURA	Sura
SELECT_CHARACTER_SURA_SKILL	Büyülü Silah | Kara Büyü
SELECT_CHARACTER_NAME	Karakter Adý
SELECT_CHARACTER_STATUS_TITLE	Karakter Durumu
SELECT_CHARACTER_TITLE	Karakterini Seç
SELECT_CHARACTER_WARRIOR	Savaþçý
SELECT_CHARACTER_WARRIOR_SKILL	Bedensel | Zihinsel
SELECT_CREATE_CHARACTER	Karakter Oluþtur
SELECT_DEX	DEX
SELECT_HP	HP
SELECT_METIN_STONE_TITLE	Zihin Taþý Seç
SELECT_PLAYTIME	Oyun Süresi
SELECT_SP	INT
SHOP_BUY	Satýn Al
SHOP_SELL	Sat
SHOP_TITLE	Dükkan
SKILL_SUPPORT_TITLE	Standart Beceriler
STEP	Saflýk Derecesi
STEP_SELECT	Saflýk Derecesi
STRENGTH	Güçlendirme
STRENGTH_SELECT	Seviye
SYSTEM_CHANGE	Karakter Deðiþikliði
SYSTEM_CHANGE_CHANNEL	Kanal deðiþtir
SYSTEM_EXIT	Oyun Sonu
SYSTEM_INSTANT_EXIT	Hýzlý Çýkýþ
SYSTEM_LOGOUT	Çýkýþ
SYSTEM_MALL	Nesne Market
SYSTEM_OPTION	Sistem Seçenekleri
TASKBAR_ANTI_EXP	Deneyim Engelleyici
TASKBAR_CHARACTER	Karakter
TASKBAR_CHAT	Sohbet Penceresi [Enter]
TASKBAR_HUNTING	Avcýlýk Görevleri
TASKBAR_COMMUNITY	Topluluk
TASKBAR_DISABLE	Devre dýþý
TASKBAR_DRAGON_SOUL	Ejderha Taþý Simyasý
TASKBAR_EXPAND	Paneli geniþlet
TASKBAR_INVENTORY	Envanter
TASKBAR_MESSENGER	Arkadaþlar [Alt+M]
TASKBAR_MONEY_EXPAND	Sermaye
TASKBAR_NEXT_QUICKSLOT	Sonraki Hýzlý Giriþ Alaný [Shift+Number, Alt]
TASKBAR_PET_INFO	Pet Bilgisi
TASKBAR_PREV_QUICKSLOT	Önceki Quickslot
TASKBAR_SYSTEM	Seçenekler[ESC]
WHISPER_BAN	Engelle
WHISPER_NAME	Fýsýltý
WHISPER_REPORT	
WHISPER_SEND	Gönder
YES	Evet
ZONE_MAP	Genel Görünüm Haritasý
GUILD_BASEINFO_LANDABANDON	Lonca arazisini feshet
GUILD_BASEINFO_MONEYIN	Para Yatýr
GUILD_BASEINFO_MONEYOUT	Para Çek
CHEST_VIEW_DROP_OPEN_CHEST	%d Sandýðý Aç
CHEST_VIEW_DROP_OPEN_CHESTS	%d Sandýðý Aç
CHEST_VIEW_DROP_TITLE	Sandýk Düþürme
TELEPORT_WINDOW_TITLE	Iþýnlanma Penceresi
TELEPORT_WINDOW_BUTTON_TELEPORT	Iþýnlan
TELEPORT_WINDOW_NAVIGATION_TITLE	Nereye gitmek istiyorsunuz?
SKILL_COLOR_BUTTON_ALL	Tümünü Renklendir
SKILL_COLOR_BUTTON_DEFAUL	Varsayýlan
SKILL_COLOR_BUTTON_SAVE	Kaydet
SKILL_COLOR_TITLE	Renk Seç
SORT_INVENTORY	Yenile
SORT_INVENTORY_TEXT1	Bu seçenek eþyalarýnýzý düzenlemenize yardýmcý olur.
SORT_INVENTORY_TEXT2	Devam etmek istiyor musunuz?
SPECIAL_INVENTORY_CHANGERS_TOOLTIP	Deðiþtiriciler
SPECIAL_INVENTORY_CHEST_TOOLTIP	Sandýklar
SPECIAL_INVENTORY_MALL_TOOLTIP	Eþya Dükkaný
SPECIAL_INVENTORY_MATERIAL_TOOLTIP	Malzemeler
SPECIAL_INVENTORY_SAFEBOX_TOOLTIP	Depo
SPECIAL_INVENTORY_SKILL_BOOK_TOOLTIP	Kitaplar
SPECIAL_INVENTORY_STONE_TOOLTIP	Taþlar
SPECIAL_INVENTORY_PAGE_PLEASE_WAIT	Lütfen bekleyin...
SPECIAL_INVENTORY_TITLE	Özel Envanter
LOGIN_ACCOUNT_CANNOT_DELETE	Bir hesabý silebilmek için en az bir kayýtlý hesabýnýz olmalý.
LOGIN_ACCOUNT_CANNOT_SAVE	Bu hesap için boþ bir kayýt yuvasý yok.
LOGIN_ACCOUNT_CANNOT_SAVE2	Kaydedilecek hesabý yazýnýz.
LOGIN_ACCOUNT_DELETED	Hesap baþarýyla silindi.
LOGIN_ACCOUNT_EMPTY	Boþ
LOGIN_ACCOUNT_FORGOT_PASS	Þifremi unuttum.
LOGIN_ACCOUNT_NO_DATA	Hiç kayýtlý hesap bulunamadý.
LOGIN_ACCOUNT_REGISTER	Yeni bir hesap oluþtur!
LOGIN_ACCOUNT_SAVED	Hesap baþarýyla kaydedildi.
LOGIN_BACK	Geri
LOGIN_CHANNEL_1	CH 1
LOGIN_CHANNEL_2	CH 2
LOGIN_CHANNEL_3	CH 3
LOGIN_CHANNEL_4	CH 4
AUTO_PICKUP_PREMIUM_DISABLED	Devre Dýþý
AUTO_PICKUP_PREMIUM_ENABLED	Aktif
AUTO_PICKUP_PREMIUM_FILTER	Filtrele
AUTO_PICKUP_PREMIUM_FILTER_ARMOR	Zýrh
AUTO_PICKUP_PREMIUM_FILTER_BRACELET	Bilezik
AUTO_PICKUP_PREMIUM_FILTER_CHESTS	Sandýklar
AUTO_PICKUP_PREMIUM_FILTER_EARRINGS	Küpe
AUTO_PICKUP_PREMIUM_FILTER_HELMET	Miðfer
AUTO_PICKUP_PREMIUM_FILTER_NECKLACE	Kolye
AUTO_PICKUP_PREMIUM_FILTER_OTHERS	Diðerleri
AUTO_PICKUP_PREMIUM_FILTER_SHIELD	Kalkan
AUTO_PICKUP_PREMIUM_FILTER_SHOES	Bot
AUTO_PICKUP_PREMIUM_FILTER_WEAPONS	Silahlar
AUTO_PICKUP_PREMIUM_FILTER_YANG	Yang
AUTO_PICKUP_PREMIUM_INFO	Faydalanmak için etkinleþtir:
AUTO_PICKUP_PREMIUM_INFO_BENEFIT_1	- Otomatik Toplama (Z tuþuna basmaya son)
AUTO_PICKUP_PREMIUM_INFO_BENEFIT_2	- Eþyalarý daha geniþ bir menzilden toplama.
AUTO_PICKUP_PREMIUM_STATUS	Durum: 
AUTO_PICKUP_PREMIUM_STATUS_ON	|cFF00CB45 Aktif %s
AUTO_PICKUP_PREMIUM_STATUS_OFF	|cFFFF4C4C Devre Dýþý
AUTO_PICKUP_PREMIUM_TITLE	Otomatik Toplama
EXTENDED_BATTLE_PASS_TITLE	Savaþ Bileti
EXTENDED_BATTLE_PASS_ACTIVATE_PREMIUM	Premium Savaþ Biletini Etkinleþtir!
EXTENDED_BATTLE_PASS_CURRENT_SEASON	Mevcut Sezon:
EXTENDED_BATTLE_PASS_NOTHING_PLANNED	Þu anda planlanmýþ bir etkinlik yok!
EXTENDED_BATTLE_PASS_PLANNED	Bir etkinlik planlanmýþ!
EXTENDED_BATTLE_PASS_PLANNED_TIME	Kalan süre: %s
EXTENDED_BATTLE_PASS_RANK_ICON_RANK	Rütbe
EXTENDED_BATTLE_PASS_RANK_ICON_NAME	Ýsim
EXTENDED_BATTLE_PASS_RANK_ICON_TIME	Ýlk görevden itibaren geçen süre
EXTENDED_BATTLE_PASS_SEASON_TITLE	Bilgi
EXTENDED_BATTLE_PASS_SEASON_CURRENT_MISSIONS	Tamamlanan görevler: %d / %d
EXTENDED_BATTLE_PASS_SEASON_DATE_FROM	Baþlangýç
EXTENDED_BATTLE_PASS_SEASON_DATE_TO	Bitiþ
EXTENDED_BATTLE_PASS_SEASON_PROGRESS	Tüm görevlerin ilerlemesi
EXTENDED_BATTLE_PASS_MISSION_NAME	Görev
EXTENDED_BATTLE_PASS_MISSION_STATUS	Durum
EXTENDED_BATTLE_PASS_MISSION_INFO	Bilgi
EXTENDED_BATTLE_PASS_MISSION_STATUS_IN_PROGRESS	|cfffeff7d|H|hDevam Ediyor!|h|r
EXTENDED_BATTLE_PASS_MISSION_STATUS_FINISH	|cff82ff7d|H|hTamamlandý!|h|r
EXTENDED_BATTLE_PASS_MISSION_INFORMATION_MONSTER	Yaratýk: |cff82ff7d|H|h%s|h|r
EXTENDED_BATTLE_PASS_MISSION_INFORMATION_MINLEVEL	Min. Seviye: |cff82ff7d|H|h%s|h|r
EXTENDED_BATTLE_PASS_MISSION_INFORMATION_ITEM	Eþya: |cff82ff7d|H|h%s|h|r
EXTENDED_BATTLE_PASS_MISSION_INFORMATION_FISH	Balýk: |cff82ff7d|H|h%s|h|r
EXTENDED_BATTLE_PASS_MISSION_INFORMATION_MAPNAME	Harita: |cff82ff7d|H|h%s|h|r
EXTENDED_BATTLE_PASS_MISSION_INFORMATION_GUILDWARTYPE	Lonca Savaþý Türü: |cff82ff7d|H|h%s|h|r
EXTENDED_BATTLE_PASS_MISSION_INFORMATION_DUNGEON	Zindan: |cff82ff7d|H|h%s|h|r
EXTENDED_BATTLE_PASS_MISSION_INFORMATION_COUNT	Sayý: |cfffeff7d|H|h%s|h|r / |cff82ff7d|H|h%s|h|r
EXTENDED_BATTLE_PASS_MISSION_INFORMATION_PERCENT	Ýlerleme: |cfffeff7d|H|h%.2f%%|h|r
EXTENDED_BATTLE_PASS_DESCRIPTION	Açýklama:
EXTENDED_BATTLE_PASS_NONE_COND_TITLE_MOB	Yaratýk
EXTENDED_BATTLE_PASS_NONE_COND_TITLE_ITEM	Eþya
EXTENDED_BATTLE_PASS_NONE_COND_TITLE_FISH	Balýk
EXTENDED_BATTLE_PASS_NONE_COND_TITLE_DUNGEON	Zindanlar
EXTENDED_BATTLE_PASS_TYPENAME_1	Boss Avcýsý
EXTENDED_BATTLE_PASS_TYPENAME_1_DESC_1	%sx %s öldür.
EXTENDED_BATTLE_PASS_TYPENAME_1_DESC_2	Herhangi bir bossu %s kez öldür.
EXTENDED_BATTLE_PASS_TYPENAME_2	%s Öldür
EXTENDED_BATTLE_PASS_TYPENAME_2_DESC_1	%sx %s öldür.
EXTENDED_BATTLE_PASS_TYPENAME_2_DESC_2	Rastgele %sx yaratýk öldür.
EXTENDED_BATTLE_PASS_TYPENAME_3	%s Oyuncu Öldür
EXTENDED_BATTLE_PASS_TYPENAME_3_DESC_1	%s oyuncu öldür. Herhangi bir krallýktan olabilir. Oyuncular en az seviye %s olmalýdýr!
EXTENDED_BATTLE_PASS_TYPENAME_3_DESC_2	%s oyuncu öldür. Herhangi bir krallýktan olabilir. Seviye sýnýrý yoktur!
EXTENDED_BATTLE_PASS_TYPENAME_4	Taþ Kýrýcý
EXTENDED_BATTLE_PASS_TYPENAME_4_DESC_1	%sx %s yok et.
EXTENDED_BATTLE_PASS_TYPENAME_4_DESC_2	Herhangi bir Metin Taþýný %s kez yok et.
EXTENDED_BATTLE_PASS_TYPENAME_5	Yaratýklara Toplam Hasar
EXTENDED_BATTLE_PASS_TYPENAME_5_DESC_1	%s üzerinde toplam %s hasara ulaþ.
EXTENDED_BATTLE_PASS_TYPENAME_5_DESC_2	Herhangi bir yaratýkta toplam %s hasara ulaþ.
EXTENDED_BATTLE_PASS_TYPENAME_6	Oyunculara Toplam Hasar
EXTENDED_BATTLE_PASS_TYPENAME_6_DESC_1	Minimum seviye %d olan oyunculara toplam %s hasar ver. Herhangi bir krallýktan olabilirler.
EXTENDED_BATTLE_PASS_TYPENAME_6_DESC_2	Oyunculara toplam %s hasar ver. Herhangi bir krallýktan olabilirler.
EXTENDED_BATTLE_PASS_TYPENAME_7	%s Kullan
EXTENDED_BATTLE_PASS_TYPENAME_7_DESC_1	Bu görevi tamamlamak için %sx %s kullan veya aç.
EXTENDED_BATTLE_PASS_TYPENAME_7_DESC_2	Bu görevi tamamlamak için herhangi bir eþyayý %s kez kullan veya aç.
EXTENDED_BATTLE_PASS_TYPENAME_8	%s Sat
EXTENDED_BATTLE_PASS_TYPENAME_8_DESC_1	Bu görevi tamamlamak için %sx %s eþyasýný NPC’ye sat.
EXTENDED_BATTLE_PASS_TYPENAME_8_DESC_2	Bu görevi tamamlamak için herhangi bir eþyayý NPC’ye %s kez sat.
EXTENDED_BATTLE_PASS_TYPENAME_9	%s Yükselt
EXTENDED_BATTLE_PASS_TYPENAME_9_DESC_1	Bu görevi tamamlamak için %sx %s bir üst seviyeye yükselt.
EXTENDED_BATTLE_PASS_TYPENAME_9_DESC_2	Bu görevi tamamlamak için %s bir üst seviyeye yükselt.
EXTENDED_BATTLE_PASS_TYPENAME_10	%s Tut
EXTENDED_BATTLE_PASS_TYPENAME_10_DESC_1	Bu görevi tamamlamak için sudan %sx %s çýkar.
EXTENDED_BATTLE_PASS_TYPENAME_10_DESC_2	Bu görevi tamamlamak için herhangi bir balýðý %s kez çýkar.
EXTENDED_BATTLE_PASS_TYPENAME_11	%s Piþir
EXTENDED_BATTLE_PASS_TYPENAME_11_DESC_1	Bu görevi tamamlamak için kamp ateþinde %sx %s piþir.
EXTENDED_BATTLE_PASS_TYPENAME_11_DESC_2	Bu görevi tamamlamak için kamp ateþinde herhangi bir balýðý %s kez piþir.
EXTENDED_BATTLE_PASS_TYPENAME_12	%s Öldür
EXTENDED_BATTLE_PASS_TYPENAME_12_DESC_1	Bu görevi tamamlamak için %sx %s öldür.
EXTENDED_BATTLE_PASS_TYPENAME_12_DESC_2	Bu görevi tamamlamak için herhangi bir balýðý %s kez öldür.
EXTENDED_BATTLE_PASS_TYPENAME_13	%s Yang Topla
EXTENDED_BATTLE_PASS_TYPENAME_13_DESC_1	Bu görevi tamamlamak için %s bölgesindeki yaratýklardan %s Yang topla.
EXTENDED_BATTLE_PASS_TYPENAME_13_DESC_2	Bu görevi tamamlamak için yaratýklardan %s Yang topla.
EXTENDED_BATTLE_PASS_TYPENAME_14	Lonca Savaþý Oyna
EXTENDED_BATTLE_PASS_TYPENAME_14_DESC_1	%s türünden %sx Lonca Savaþý tamamla.
EXTENDED_BATTLE_PASS_TYPENAME_14_DESC_2	%sx Lonca Savaþý tamamla.
EXTENDED_BATTLE_PASS_TYPENAME_15	%s
EXTENDED_BATTLE_PASS_TYPENAME_15_DESC_1	%s: Bu görevi tamamlamak için bu zindaný %s kez bitir.
EXTENDED_BATTLE_PASS_TYPENAME_15_DESC_2	Bu görevi tamamlamak için herhangi bir zindaný %s kez bitir.
EXTENDED_BATTLE_PASS_MAP_NAME_BY_IDX_64	Seungryong Vadisi
EXTENDED_BATTLE_PASS_MAP_NAME_BY_IDX_65	Hwang Tapýnaðý
EXTENDED_BATTLE_PASS_MAP_NAME_BY_IDX_72	Sürgün Maðarasý
EXTENDED_BATTLE_PASS_GUILDWAR_TYPE_NAME_1	Açýk Alan
EXTENDED_BATTLE_PASS_GUILDWAR_TYPE_NAME_2	Arena
EXTENDED_BATTLE_PASS_GUILDWAR_TYPE_NAME_3	Bayrak
EXTENDED_BATTLE_PASS_DUNGEON_NAME_1	Þeytan Kulesi
EXTENDED_BATTLE_PASS_DUNGEON_NAME_2	Ejderha Tapýnaðý
EXTENDED_BATTLE_PASS_DUNGEON_NAME_3	Þeytan Katakombu
EXTENDED_BATTLE_PASS_DUNGEON_NAME_4	Örümcek Zindaný 3
HUNTING_SYSTEM_AMOUNT	Miktar
HUNTING_SYSTEM_AMOUNT_TEXT	%d / %d
HUNTING_SYSTEM_BUTTON_MINI_UI_ON	Mini Arayüzü Göster
HUNTING_SYSTEM_BUTTON_MINI_UI_OFF	Mini Arayüzü Gizle
HUNTING_SYSTEM_BUTTON_REWARD_COLLECT	Ödülü topla
HUNTING_SYSTEM_BUTTON_REWARD_CLOSE	Bu pencereyi kapatmak için önce ödülünüzü açmanýz gerekir.
HUNTING_SYSTEM_BUTTON_REWARD_OPEN	Aç
HUNTING_SYSTEM_BUTTON_SELECT	Seç
HUNTING_SYSTEM_DESTINATION	Konum
HUNTING_SYSTEM_EXP	Deneyim
HUNTING_SYSTEM_EXP_TEXT	%d%% - %d%%
HUNTING_SYSTEM_INFO	Bilgi
HUNTING_SYSTEM_INFO_OVER_LEVEL	Bir sonraki görevi baþlatmak için en az %d seviye olmalýsýn.
HUNTING_SYSTEM_INFO_COMPLETE_ALL	Tüm görevleri tamamladýn!
HUNTING_SYSTEM_MOB	Yaratýklar
HUNTING_SYSTEM_MONEY	Yang
HUNTING_SYSTEM_MONEY_TEXT	%d - %d
HUNTING_SYSTEM_PROGRESS	Ýlerleme
HUNTING_SYSTEM_RACE_TOOLTIP	Burada gösterilen eþya sýnýfa özel olabilir.
HUNTING_SYSTEM_TITLE	Av Görevi No. %d
HUNTING_SYSTEM_TITLE_INFO	Bilgi
HUNTING_SYSTEM_TITLE_REWARD	Ödül - Av Sözleþmesi %d
HUNTING_SYSTEM_TITLE_REWARD_RACE_ITEM	Sýnýf Eþyasý
HUNTING_SYSTEM_TITLE_REWARD_RANDOM_ITEM	Rastgele Eþya
HUNTING_SYSTEM_TITLE_REWARD_MONEY_EXP	Yang ve Deneyim
HUNTING_SYSTEM_TITLE_SELECT	Seçim - Av Görevi No. %d
