ACCE_ABSORB_CHANCE	Rata absorbtiei: %d%%
CZ_REWARD_TOOLTIP_CAN_GET_GREEN_BOX	Apasa aici pentru a colecta Comoara Aventurine drept recompensa.
CZ_REWARD_TOOLTIP_CAN_GET_YELLOW_BOX	Apasa aici pentru a colecta Comoara Aureolin drept recompensa.
CZ_REWARD_TOOLTIP_COMPLETABLE	Colecteaza
CZ_REWARD_TOOLTIP_GREEN_BOX	Comoara Aventurine
CZ_REWARD_TOOLTIP_GREEN_BOX_COMP_CNT	Comoari Aventurine Colectate: %d
CZ_REWARD_TOOLTIP_WEEKLY	Zi
CZ_REWARD_TOOLTIP_WEEKLY_FRI	Vineri
CZ_REWARD_TOOLTIP_WEEKLY_MON	Luni
CZ_REWARD_TOOLTIP_WEEKLY_SAT	Sambata
CZ_REWARD_TOOLTIP_WEEKLY_SAT_SUN	Sambata/Duminica
CZ_REWARD_TOOLTIP_WEEKLY_THU	Joi
CZ_REWARD_TOOLTIP_WEEKLY_TUE	Marti
CZ_REWARD_TOOLTIP_WEEKLY_WED	Miercuri
CZ_REWARD_TOOLTIP_YELLOW_BOX	Comoara Aurelion
CZ_REWARD_TOOLTIP_YELLOW_BOX_COMP_CNT	Comori Aureolin Colectate: %d
DAY	z
DETAILS_0	Tare vs Metin
DETAILS_1	Tare vs Jumatate-Om
DETAILS_2	Rezist la Jumat.-Om
DETAILS_3	Tare vs Orci
DETAILS_4	Tare vs Vampir
DETAILS_5	Tare vs Monstru
DETAILS_6	Tare vs Monst Zodiac
DETAILS_7	Tare vs Animale
DETAILS_8	Tare vs Mistici
DETAILS_9	Tare vs Demon
DETAILS_10	Tare vs Mon. Desert
DETAILS_11	Tare vs Insecte
DETAILS_12	Valoarea Atacului
DETAILS_13	Valoarea Apararii
DETAILS_14	Paguba Medie
DETAILS_15	Rezist. Paguba Medie
DETAILS_16	Paguba Abilitate
DETAILS_17	Rezistent Paguba Abilitate
DETAILS_18	Atac Fizic/Magic
DETAILS_19	Atac Magic
DETAILS_20	Sansa Lovit. Critica
DETAILS_21	Lovitura Patrunzat.
DETAILS_22	Rezist Lovit. Crit.
DETAILS_23	Rezist Lov. Patrunz.
DETAILS_24	Rezist. la Fulger
DETAILS_25	Rezist. la Gheata
DETAILS_26	Rezist. la Intuneric
DETAILS_27	Rezist. la Foc
DETAILS_28	Rezist. la Vant
DETAILS_29	Rezist. la Pamant
DETAILS_30	Puterea Fulgerului
DETAILS_31	Puterea Ghetii
DETAILS_32	Puterea Intunecata
DETAILS_33	Puterea Focului
DETAILS_34	Puterea Vantului
DETAILS_35	Puterea Pamantului
DETAILS_36	Tare vs Razboinic
DETAILS_37	Tare vs Ninja
DETAILS_38	Tare vs Sura
DETAILS_39	Tare vs Saman
DETAILS_40	Tare vs Lycan
DETAILS_41	Aparare vs Razboinic
DETAILS_42	Aparare vs Ninja
DETAILS_43	Aparare vs Sura
DETAILS_44	Aparare vs Saman
DETAILS_45	Aparare vs Lycan
DETAILS_46	Aparare Sabie
DETAILS_47	Aparare Doua Maini
DETAILS_48	Aparare Pumnal
DETAILS_49	Aparare Gheara
DETAILS_50	Aparare Clopot
DETAILS_51	Aparare Evantai
DETAILS_52	Aparare Sageata
DETAILS_53	Sansa Necunostinta
DETAILS_54	Sansa de Incetinire
DETAILS_55	Sansa de Otravire
DETAILS_56	Rezistenta la Otrava
DETAILS_57	Atac Sangeros
DETAILS_58	Rez. Atac Sangeros
DETAILS_59	Fura PV
DETAILS_60	Fura PM
DETAILS_61	Recupereaza PV
DETAILS_62	Recupereaza PM
DETAILS_63	Blocheaza Atac
DETAILS_64	Evita Atac Sageti
DETAILS_65	Reflecta Atac Fizic
DETAILS_66	Recup. PV la Ucidere
DETAILS_67	Recup. PM la Ucidere
DETAILS_68	Dublu EXP
DETAILS_69	Dublu Yang
DETAILS_70	Sansa Drop
DETAILS_71	Valoarea Atacului
DETAILS_72	Valoarea Apararii
DETAILS_73	EXP
DETAILS_74	Sansa Drop
DETAILS_75	Dublu Yang
DETAILS_76	Rezistenta la Magie
DETAILS_77	Anti-Magie
DETAILS_78	Rezist. la monstri
DETAILS_79	Bonus Atac magic
DETAILS_ATTBONUS_BELL	Vulnerabil Clopot
DETAILS_ATTBONUS_BOW	Vulnerabil Sageata
DETAILS_ATTBONUS_CLAW	Vulnerabil Gheara
DETAILS_ATTBONUS_DAGGER	Vulnerabil Pumnal
DETAILS_ATTBONUS_DRAGON	Tare impotriva Dragonilor
DETAILS_ATTBONUS_FAN	Vulnerabil Evantai
DETAILS_ATTBONUS_SWORD	Vulnerabil Sabie
DETAILS_ATTBONUS_TWOHAND	Vulnerabil Doua Maini
DETAILS_BLOCK_PENETRATE_PCT	Penetrarea blocarii
DETAILS_CATE_1	Daune/Aparare
DETAILS_CATE_2	Bonus element
DETAILS_CATE_3	Bonus clasa
DETAILS_CATE_4	Bonus arma
DETAILS_CATE_5	Alte bonusuri
DETAILS_CATE_6	Bonus special
DETAILS_HIT_PCT	Precizie
DETAILS_MYSTERY_DUNGEON	Puternic impotriva Misterelor
DETAILS_RESIST_MOUNT_FALL	Rezistenta la alunecare
DETAILS_TITLE	Detalii
DETAILS_TOOLTIP_0	Tare vs pietre Metin: Daune mai mari impotriva pietrelor Metin.
DETAILS_TOOLTIP_1	Tare vs Semi-Oameni: Daune mai mari impotriva Semi-Oameni.
DETAILS_TOOLTIP_2	Rezistenta vs Semi-Oameni: Reduce daunele primite de la Semi-Oameni.
DETAILS_TOOLTIP_3	Tare vs Orci: Daune mai mari impotriva orcilor.
DETAILS_TOOLTIP_4	Tare vs Vampiri: Daune mai mari impotriva vampirilor.
DETAILS_TOOLTIP_5	Tare vs Monstri: Daune mai mari impotriva monstrilor.
DETAILS_TOOLTIP_6	Tare impotriva Monstrilor Zodiac: Daune mai mari impotriva monstrilor Zodiac.
DETAILS_TOOLTIP_7	Tare vs Animale: Daune mai mari impotriva animalelor salbatice.
DETAILS_TOOLTIP_8	Tare impotriva Misticilor: Daune mai mari impotriva misticilor.
DETAILS_TOOLTIP_9	Tare vs Demoni: Daune mai mari impotriva demonilor.
DETAILS_TOOLTIP_10	Tare impotriva Monstrilor de Desert: provoaca daune mai mari monstrilor de desert.
DETAILS_TOOLTIP_11	Tare impotriva Insectelor: provoaca daune mai mari impotriva insectelor.
DETAILS_TOOLTIP_12	Mareste valoarea atacului.
DETAILS_TOOLTIP_13	Mareste valoarea apararii.
DETAILS_TOOLTIP_14	Mareste paguba medie executata pe inamici in atac.
DETAILS_TOOLTIP_15	Rezistenta vs paguba medie: reduce daunele primite in atac.
DETAILS_TOOLTIP_16	Mareste daunele executate de o abilitate.
DETAILS_TOOLTIP_17	Rezistenta vs paguba abilitate. Reduce daunele primite de la o abilitate.
DETAILS_TOOLTIP_18	Mareste valoarea atacului fizic si magic.
DETAILS_TOOLTIP_19	Mareste daunele atacului magic executat pe inamici in atac.
DETAILS_TOOLTIP_20	Creste sansa unei lovituri critice.
DETAILS_TOOLTIP_21	Probabilitate lovitura patrunzatoare: Creste sansa de a executa o lovitura patrunzatoare.
DETAILS_TOOLTIP_22	Rezistenta vs lovitura critica: Reduce daunele facute de o lovitura critica.
DETAILS_TOOLTIP_23	Rezistenta vs lovitura patrunzatoare: Reduce daunele facute de o lovitura patrunzatoare.
DETAILS_TOOLTIP_24	Reduce daunele primite de la anumiti monstri.
DETAILS_TOOLTIP_25	Reduce daunele primite de la anumiti monstri.
DETAILS_TOOLTIP_26	Rezistenta la intuneric: Reduce daunele primite de la anumiti monstri.
DETAILS_TOOLTIP_27	Reduce daunele primite de la anumiti monstri.
DETAILS_TOOLTIP_28	Reduce daunele primite de la anumiti monstri.
DETAILS_TOOLTIP_29	Reduce daunele primite de la anumiti monstri.
DETAILS_TOOLTIP_30	Creste daunele facute cu puterea fulgerului.
DETAILS_TOOLTIP_31	Creste daunele facute cu puterea ghetii.
DETAILS_TOOLTIP_32	Creste daunele facute cu puterea intunecata.
DETAILS_TOOLTIP_33	Creste daunele facute cu puterea focului.
DETAILS_TOOLTIP_34	Creste daunele facute cu puterea vantului.
DETAILS_TOOLTIP_35	Creste daunele facute cu puterea pamantului.
DETAILS_TOOLTIP_36	Tare vs Razboinici: Daune mai mari impotriva razboinicilor.
DETAILS_TOOLTIP_37	Tare vs Ninja: Daune mai mari impotriva ninja.
DETAILS_TOOLTIP_38	Tare vs Sura: Daune mai mari impotriva sura.
DETAILS_TOOLTIP_39	Tare vs Samani: Daune mai mari impotriva samanilor.
DETAILS_TOOLTIP_40	Tare vs Lycani: Daune mai mari impotriva lycanilor.
DETAILS_TOOLTIP_41	Sansa de aparare la atacurile primite de la razboinici: Reduce daunele primite de la razboinici.
DETAILS_TOOLTIP_42	Sansa de aparare la atacurile primite de la ninja: Reduce daunele primite de la ninja.
DETAILS_TOOLTIP_43	Sansa de aparare la atacurile primite de la sura: Reduce daunele primite de la sura.
DETAILS_TOOLTIP_44	Sansa de aparare la atacurile primite de la saman: Reduce daunele primite de la saman.
DETAILS_TOOLTIP_45	Sansa de aparare la atacurile primite de la lycan: Reduce daunele primite de la lycan.
DETAILS_TOOLTIP_46	Reduce daunele produse de o sabie.
DETAILS_TOOLTIP_47	Reduce daunele produse de o arma doua-maini.
DETAILS_TOOLTIP_48	Reduce daunele produse de un pumnal.
DETAILS_TOOLTIP_49	Reduce daunele produse de o gheara.
DETAILS_TOOLTIP_50	Reduce daunele produse de un clopot.
DETAILS_TOOLTIP_51	Reduce daunele produse de un evantai.
DETAILS_TOOLTIP_52	Reduce daunele produse de un arc cu sageti
DETAILS_TOOLTIP_53	Creste sansa de necunostinta la adversar.
DETAILS_TOOLTIP_54	Creste sansa de a incetini un oponent.
DETAILS_TOOLTIP_55	Creste sansa de a otravi un oponent.
DETAILS_TOOLTIP_56	Reduce daunele produse de otrava.
DETAILS_TOOLTIP_57	Creste sansa de a executa un atac sangeros.
DETAILS_TOOLTIP_58	Rezistenta vs atac sangeros: Reduce daunele produse de atac sangeros.
DETAILS_TOOLTIP_59	Fura PV de la oponenti atunci cand ii lovesti.
DETAILS_TOOLTIP_60	Fura PM de la oponenti atunci cand ii lovesti.
DETAILS_TOOLTIP_61	Mareste recuperarea punctelor de viata.
DETAILS_TOOLTIP_62	Mareste recuperarea punctelor de magie.
DETAILS_TOOLTIP_63	Sansa de blocare a unui atac fizic: Creste sansa de a evita un atac fizic.
DETAILS_TOOLTIP_64	Sansa de evitare a unui atac cu sageti: Creste sansa de a evita un atac cu sageti sau de la distanta de la un monstru.
DETAILS_TOOLTIP_65	Sansa de a reflecta lovituri fizice: O parte dintre daunele fizice de la oponent sunt reflectate catre el.
DETAILS_TOOLTIP_66	Recuperare PV cand omori: Punctele tale de viata cresc cand omori un oponent.
DETAILS_TOOLTIP_67	Recuperare PM cand omori: Punctele tale de magie cresc cand omori un oponent.
DETAILS_TOOLTIP_68	Sansa de a castiga experienta dubla: Creste sansa de a castiga bonus de EXP atunci cand omori un oponent.
DETAILS_TOOLTIP_69	Sansa la drop dublu Yang: Creste sansa de a primi de doua ori cantiatea de Yang.
DETAILS_TOOLTIP_70	Sansa la drop obiecte: Creste sansa de a primi de doua ori numarul obiectelor.
DETAILS_TOOLTIP_71	Mareste valoarea atacului.
DETAILS_TOOLTIP_72	Mareste valoarea apararii.
DETAILS_TOOLTIP_73	Creste colectarea de experienta.
DETAILS_TOOLTIP_74	Sansa drop obiecte: Iti dubleaza sansa de a colecta obiecte.
DETAILS_TOOLTIP_75	Sansa drop Yang: Iti dubleaza sansa de a colecta mai mult Yang.
DETAILS_TOOLTIP_76	Reduce daunele primite de la atacul magic.
DETAILS_TOOLTIP_77	Reduce rezistenta magica a oponentilor.
DETAILS_TOOLTIP_78	Reduce daunele de la monstri.
DETAILS_TOOLTIP_79	Creste valoare de atac magic.
DETAILS_TOOLTIP_ATTBONUS_BELL	Vulnerabil aparare Clopot: Reduce apararea oponentului in fata clopotului.
DETAILS_TOOLTIP_ATTBONUS_BOW	Vulnerabil aparare Sageata: Reduce apararea oponentului in fata sagetilor.
DETAILS_TOOLTIP_ATTBONUS_CLAW	Vulnerabil aparare Gheara: Reduce apararea oponentului in fata ghearei.
DETAILS_TOOLTIP_ATTBONUS_DAGGER	Vulnerabil aparare Pumnal: Reduce apararea oponentului in fata pumnalului.
DETAILS_TOOLTIP_ATTBONUS_DRAGON	Cauzeaza daune mai mari dragonilor.
DETAILS_TOOLTIP_ATTBONUS_FAN	Vulnerabil aparare Evantai: Reduce apararea oponentului in fata evantaiului.
DETAILS_TOOLTIP_ATTBONUS_SWORD	Vulnerabil aparare Sabie: Reduce apararea oponentului in fata sabiei.
DETAILS_TOOLTIP_ATTBONUS_TWOHAND	Vulnerabil aparare Doua Maini: Reduce apararea oponentului in fata armelor doua maini.
DETAILS_TOOLTIP_BLOCK_PENETRATE_PCT	Ai sansa de a provoca daune ignorand blocarea inamicului tau (doar in PvP).
DETAILS_TOOLTIP_HIT_PCT	Creste sansa de a lovi inamicul
DETAILS_TOOLTIP_MYSTERY_DUNGEON	Puternic impotriva Misterelor: Aduce mai multa daune monstrilor din Temnita Misterioasa si Ecoul Misterios
DETAILS_TOOLTIP_RESIST_MOUNT_FALL	Rezistenta la alunecare: Reduce sansa de a aluneca de pe mount.
DONT_USE_ITEM_WHEN_SHOW_CONFIRM	Nu poti muta niciun obiect cand ai o cerere in asteptare.
DO_NOT_INSERT_UPBRINGING_PET	Insotitorul activ nu poate fi selectat.
DO_YOU_BUY_ITEM1	Vrei sa cumperi %s pentru %s Yang?
DO_YOU_BUY_ITEM2	Doresti sa cumperi %s (%s bucati) pentru %s Yang?
DO_YOU_BUY_ITEM3	Doresti sa cumperi %s pentru %s Won si %s Yang?
DO_YOU_BUY_ITEM4	Doresti sa cumperi %s (%s bucati) pentru %s Won si %s Yang?
DO_YOU_BUY_ITEM_SECONDARY_COIN_1	Vrei sa cumperi %s pentru %s?
DO_YOU_BUY_ITEM_SECONDARY_COIN_2	Doresti sa cumperi %s (%s bucati) pentru %s?
DO_YOU_DROP_MONEY	Vrei sa renunti la %d Yang?
DO_YOU_SELL_ITEM1	Vrei sa vinzi %s pentru %s Yang?
DO_YOU_SELL_ITEM2	Doresti sa vinzi %s (%s bucati) pentru %s Yang?
DRAGON_GATE_AUTO_REINFORCE_QUESTION	
DRAGON_GATE_CLEAR	
DRAGON_GATE_CLEAR_NOT_ENOUGH_MAX_REINFORCE	
DRAGON_GATE_CLEAR_QUESTION	
DRAGON_GATE_CLEAR_SELECT	
DRAGON_GATE_CLEAR_TOOLTIP	
DRAGON_GATE_DEFENSE	
DRAGON_GATE_ENCHANT_DARK	
DRAGON_GATE_ENCHANT_EARTH	
DRAGON_GATE_ENCHANT_ELECTRIC	
DRAGON_GATE_ENCHANT_FIRE	
DRAGON_GATE_ENCHANT_ICE	
DRAGON_GATE_ENCHANT_WIND	
DRAGON_GATE_EXPERIENCE	
DRAGON_GATE_HEALTH	
DRAGON_GATE_ITEM_CLEAR	
DRAGON_GATE_ITEM_CLEAR_QUESTION	
DRAGON_GATE_MARK	
DRAGON_GATE_MASTER_STEP_CHECK	
DRAGON_GATE_MY_POINT_TOOLTIP	
DRAGON_GATE_NEED_POINT_TOOLTIP	
DRAGON_GATE_PAEWANG	
DRAGON_GATE_POINT_CLEAR	
DRAGON_GATE_POINT_CLEAR_NOT_ENOUGH_POINT	
DRAGON_GATE_POINT_CLEAR_QUESTION	
DRAGON_GATE_POWER	
DRAGON_GATE_REINFORCE_APPLY_DEFAULT_TOOLTIP	
DRAGON_GATE_REINFORCE_BONUS	
DRAGON_GATE_REINFORCE_BONUS_APPLY	
DRAGON_GATE_REINFORCE_COUNT_TOOLTIP	
DRAGON_GATE_REINFORCE_MAX	
DRAGON_GATE_REINFORCE_NOT_BONUS_APPLY	
DRAGON_GATE_REINFORCE_NOT_BONUS_APPLY2	
DRAGON_GATE_REINFORCE_NOT_ENOUGH_POINT	
DRAGON_GATE_REINFORCE_QUESTION	
DRAGON_GATE_REINFORCE_RESULT	
DRAGON_GATE_REINFORCE_TOOLTIP	
DRAGON_GATE_REINFORCE_TOOLTIP_LINE1	
DRAGON_GATE_REINFORCE_TOOLTIP_LINE2	
DRAGON_GATE_REINFORCE_TOOLTIP_TITLE	
DRAGON_GATE_RESIST_DARK	
DRAGON_GATE_RESIST_EARTH	
DRAGON_GATE_RESIST_ELECTRIC	
DRAGON_GATE_RESIST_FIRE	
DRAGON_GATE_RESIST_ICE	
DRAGON_GATE_RESIST_WIND	
DRAGON_GATE_STEP_CLEAR_INITIALIZE_FIRST	
DRAGON_GATE_STEP_CLEAR_QUESTION_1	
DRAGON_GATE_STEP_CLEAR_QUESTION_2	
DRAGON_GATE_STEP_CLEAR_TOOLTIP	
DRAGON_GATE_STEP_CLEAR_WARNING_QUESTION_1	
DRAGON_GATE_STEP_CLEAR_WARNING_QUESTION_2	
DRAGON_GATE_STEP_UPGRADE_NOT_ENOUGH_POINT	
DRAGON_GATE_STEP_UPGRADE_QUESTION_1	
DRAGON_GATE_STEP_UPGRADE_QUESTION_2	
DRAGON_GATE_STEP_UPGRADE_TOOLTIP	
DRAGON_GATE_SUNGMA_HP	
DRAGON_GATE_SUNGMA_IMMUNE	
DRAGON_GATE_SUNGMA_MOVE	
DRAGON_GATE_SUNGMA_STR	
DRAGON_GATE_TOOLTIP_LINE1	
DRAGON_GATE_TOOLTIP_LINE2	
DRAGON_GATE_TOOLTIP_LINE3	
DRAGON_GATE_TOOLTIP_LINE4	
DRAGON_GATE_TOOLTIP_LINE5	
DRAGON_GATE_TOOLTIP_LINE6	
DRAGON_GATE_TOOLTIP_LINE7	
DRAGON_GATE_TOOLTIP_LINE8	
DRAGON_GATE_TOOLTIP_LINE9	
DRAGON_GATE_TOOLTIP_LINE10	
DRAGON_GATE_TOOLTIP_LINE11	
DRAGON_GATE_TOOLTIP_NOT_ENOUGH_REINFORCE	
DRAGON_GATE_TOOLTIP_TITLE	
DRAGON_GATE_TUGWI	
DRAGON_HEART_CANNOT_EXTRACT_WHEN_EQUIP	Nu poti folosi Clestii Timpului pe o Piatra Dragon echipata.
DRAGON_SOUL_CANNOT_EXTRACT_WHILE_CHANGE_ATTR	Nu se poate folosi in timp ce faci modificari la bonusurile Pietrei Dragon Mitic.
DRAGON_SOUL_CANNOT_EXTRACT_WHILE_REFINE	Nu se poate folosi in timp ce faci imbunatatiri sau modernizari Pietrele Dragon Mitic.
DRAGON_SOUL_CANNOT_REFINE	Aceasta Piatra Dragon nu poate fi rafinata.
DRAGON_SOUL_CANNOT_REFINE_MORE	Aceasta Piatra Dragon a ajuns deja la nivelul maxim.
DRAGON_SOUL_EQUIP_WARNING1	Este dificil sa inlaturi o Piatra Dragon odata ce a fost atasata.
DRAGON_SOUL_EQUIP_WARNING2	Doresti sa continui?
DRAGON_SOUL_EXPIRED	Piatra Dragon Expirata
DRAGON_SOUL_INVALID_DRAGON_SOUL	Aceasta este o Piatra Dragon gresita.
DRAGON_SOUL_IS_NOT_DRAGON_SOUL	Aceasta nu este o Piatra Dragon.
DRAGON_SOUL_NOT_DRAGON_SOUL_REFINE_STONE	Aceasta nu este Piatra Dragon corecta.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL	Nu ai suficient material pentru rafinare.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL2	Pentru %s\nai nevoie: %s %dx
DRAGON_SOUL_NOT_ENOUGH_MONEY	Nu ai suficient Yang pentru a schimba bonusul.
DRAGON_SOUL_NOT_MATCHED_SLOT	Piatra Dragon nu se potriveste in acest slot.
DRAGON_SOUL_SEAL_CANNOT_CHANGE_ATTR	Obiectele personalizate nu pot fi schimbate.
DRAGON_SOUL_SEAL_CANNOT_EQUIP	Piatra Dragon Personalizata nu poate fi echipata.
DRAGON_SOUL_SEAL_CANNOT_EXTRACT	Nu poti folosi asta pe o Piatra Dragon personalizata.
DRAGON_SOUL_SEAL_CANNOT_REFINE	Obiectele personalizate nu pot fi imbunatatite.
DRAGON_SOUL_SEAL_CANNOT_UN_EQUIP	Piatra Dragon Personalizata nu poate fi dezechipata.
DRAGON_SOUL_STEP_LEVEL1	Claritate: opaca,
DRAGON_SOUL_STEP_LEVEL2	Claritate: clara,
DRAGON_SOUL_STEP_LEVEL3	Claritate: perfecta,
DRAGON_SOUL_STEP_LEVEL4	Claritate: stralucitoare,
DRAGON_SOUL_STEP_LEVEL5	Claritate: excelenta,
DRAGON_SOUL_STRENGTH	Nivel: +%d	SA
DRAGON_SOUL_UNEQUIP_WARNING1	Piatra Dragon poate fi distrusa in acest proces.
DRAGON_SOUL_UNEQUIP_WARNING2	Doresti sa continui?
DRAGON_SOUL_UNMATCHED_SLOT	Acest slot este gresit.
DRAGON_SOUL_UNQUALIFIED	Inca nu poti folosi alchimia Pietrei Dragon.
DROP_ITEM_FAILURE_EQUIP_ITEM	Nu poti arunca obiecte din echipament.
DROP_ITEM_FAILURE_PRIVATE_SHOP	Nu poti renunta la un obiect atribuit caracterului daca magazinul privat este deschis.
DROP_MONEY_FAILURE_1000_OVER	Poti renunta la maxim 999 Yang.
DS_SYSTEM_MSG_1	Ai nevoie %s (%dx).
DUTCH_AUCTION_CLOSE_OTHER_WINDOW	Inchide toate ferestrele inainte de a deschide Licitatii Rapide.
EASTER_EGG_CANT_GET_EGG_ANYMORE	Nu poti colecta mai multe Oua de Paste.
EASTER_EGG_CANT_USE_ANYMORE	Ai colectat deja numarul maxim de oua de acest tip.
EASTER_EGG_CLICK_BANNER_AFTER_END_EVENT	Evenimentul Paste s-a terminat.
EASTER_EGG_COMPLETE_RABBIT_BELIEF	Ai indeplinit toate cerintele Iepurasului de Paste. Poti schimba Ouale de Paste colectate pentru recompense in fereastra evenimentului.
EASTER_EGG_EVENT_IS_END	Evenimentul nu este activ momentan.
EASTER_EGG_GET_EGG	Ai primit un Ou de Paste.
EASTER_EGG_USE_EGG_ITEM	Ouale de Paste au fost adaugate in fereastra evenimentului.
ELEMENT_BUFF_DARK_TOOLTIP	Poti provoca daune suplimentare in timp ce esti sub efectul unei Flori Putere Intunecata.
ELEMENT_BUFF_EARTH_TOOLTIP	Poti provoca daune suplimentare in timp ce esti sub efectul unei Flori Putere de Pamant.
ELEMENT_BUFF_ELECT_TOOLTIP	Poti provoca daune suplimentare in timp ce esti sub efectul unei Flori Putere de Fulger.
ELEMENT_BUFF_FIRE_TOOLTIP	Poti provoca daune suplimentare in timp ce esti sub efectul unei Flori Putere de Foc.
ELEMENT_BUFF_ICE_TOOLTIP	Poti provoca daune suplimentare in timp ce esti sub efectul unei Flori Putere de Gheata.
ELEMENT_BUFF_NONE_TOOLTIP	Poti provoca daune suplimentare in timp ce esti sub efectul unei Flori Putere Normala.
ELEMENT_BUFF_WIND_TOOLTIP	Poti provoca daune suplimentare in timp ce esti sub efectul unei Flori Putere de Vant.
DEFENSAWE_HYDRA	Apararea Navei
DESTROY_ITEM_QUESTION	Esti sigur ca vrei sa stergi?
DO_YOU_BUY_ITEM1	Vrei sa cumperi %s cu %s ?
DO_YOU_BUY_ITEM2	Vrei sa cumperi %s x%s cu %s ?
DO_YOU_DROP_MONEY	Vrei sa renunti la %d Yang?
DO_YOU_SELL_ITEM1	Vrei sa vinzi %s cu %s ?
DO_YOU_SELL_ITEM2	Vrei sa vinzi %s x%s cu %s ?
DROP_ITEM_FAILURE_EQUIP_ITEM	Nu poti arunca obiecte din echipament.
DROP_ITEM_FAILURE_PRIVATE_SHOP	Nu poti renunta la un obiect atribuit caracterului daca magazinul privat este deschis.
DROP_MONEY_FAILURE_1000_OVER	Poti renunta la maxim 999 Yang.
DUNGEON_TIMER_FLOOR	Etaj %d
DUNGEON_TIMER_WAVE	Val %d
EMOJI_CHEST_VIEW	Arata drop - |Eemoji/key_rclick|e
EMOJI_QUICK_ADD	Adauga rapid - |Eemoji/key_ctrl|e + |Eemoji/key_rclick|e
EMOJI_RENDER_TARGET_MOVE	Roteste - |Eemoji/key_rclick|e
EMOJI_RENDER_TARGET_WHEEL	Zoom - |Eemoji/key_lclick_wheel|e
EMOJI_SHOP_BUY	Cumpara - |Eemoji/key_rclick|e
EMOJI_SHOP_SELL	Vinde - |Eemoji/key_ctrl|e + |Eemoji/key_rclick|e
EMOTION_ANGRY	Neplacut
EMOTION_ATTRACTIVE	Tentatie
EMOTION_BANTER	Rautacios
EMOTION_CHEERS_1	Bucurie 1
EMOTION_CHEERS_2	Bucurie 2
EMOTION_CHEERUP	A se bucura
EMOTION_CHOOSE_ONE	Alege o tinta.
EMOTION_CLAP	Aplauze
EMOTION_CLAP_KISS	Sarut
EMOTION_CONGRATULATION	Acord
EMOTION_DANCE_1	Dans 1
EMOTION_DANCE_2	Dans 2
EMOTION_DANCE_3	Dans 3
EMOTION_DANCE_4	Dans 4
EMOTION_DANCE_5	Dans 5
EMOTION_DANCE_6	Dans 6
EMOTION_DANCE_7	Dans 7
EMOTION_SELFIE	Selfie
EMOTION_PUSHUP	Flotari
EMOTION_EXERCISE	Incalzire
EMOTION_DOZE	Suparat
EMOTION_FORGIVE	Iertare
EMOTION_FRENCH_KISS	Sarut Frantuzesc
EMOTION_JOY	Bucurie
EMOTION_SAD	Trist
EMOTION_SHY	Refuz
EMOTION_SLAP	Lovitura
EMOTION_EMOTION_1	Worship
EMOTION_EMOTION_2	Backflip
EMOTION_EMOTION_3	BreakDance
EMOTION_EMOTION_4	Dans 8
EMOTION_EMOTION_5	Dab
EMOTION_EMOTION_6	Facepalm
EMOTION_EMOTION_7	Fuck off
EMOTION_EMOTION_8	Wank/fingering
EMOTION_EMOTION_9	Shake it
EMOTION_EMOTION_10	Throw the money
EMOTION_EMOTION_11	Street Dance
EMOTION_EMOTION_12	Twerk
EMPIRE_A	Regatul Shinsoo
EMPIRE_B	Regatul Chunjo
EMPIRE_C	Regatul Jinno
EVENT_MANAGER_DURATION	Start: %s ~ Stop: %s
EVENT_MANAGER_DROP_TYPE	Drop: %s
EVENT_MANAGER_DROP_TYPE_NONE	Fara
EVENT_MANAGER_DROP_TYPE_GENERAL	Toti monstrii
EVENT_MANAGER_DROP_TYPE_BOSS_AND_MORE	Pietre Metin & Șefi
EVENT_MANAGER_DROP_TYPE_BOSS	Șefi
EVENT_MANAGER_DROP_TYPE_STONE	Pietre Metin
EXCHANGE_ALERT	Esti sigur ca vrei sa oferi iteme fara nimic in schimb?
EXCHANGE_CANNOT_GIVE	Nu poti vinde acest obiect.
EXCHANGE_CANT_EDIT_MONEY	Acum nu mai poti modifica suma.
EXCHANGE_FAILURE_EQUIP_ITEM	Nu poti schimba iteme atribuite caracterului.
EXCHANGE_MONEY	Suma
EXCHANGE_OWNER_ACCEPT	%s Ai acceptat negotul.
EXCHANGE_OWNER_ADD	%s Ai adaugat [%s]
EXCHANGE_OWNER_ADD_ATT	%s Ai adaugat |cffffc700|H|h[%s]|h|r
EXCHANGE_OWNER_ADD_COUNT	%s Ai adaugat %sx [%s]
EXCHANGE_OWNER_ADD_COUNT_ATT	%s Ai adaugat %sx |cffffc700|H|h[%s]|h|r
EXCHANGE_OWNER_YANG	%s Ai crescut suma de Yang la |cffb8ff00|H|h%s|h|r
EXCHANGE_START	%s Negotul a inceput.
EXCHANGE_TARGET_ADD	%s %s a adaugat [%s]
EXCHANGE_TARGET_ADD_ATT	%s %s a adaugat |cffffc700|H|h[%s]|h|r
EXCHANGE_TARGET_ADD_COUNT	%s %s a adaugat %sx [%s]
EXCHANGE_TARGET_ADD_COUNT_ATT	%s %s a adaugat %sx |cffffc700|H|h[%s]|h|r
EXCHANGE_TARGET_ACCEPT	%s %s a acceptat negotul.
EXCHANGE_TARGET_YANG	%s %s a crescut suma de Yang la |cffb8ff00|H|h%s|h|r
